date,holiday
2026-01-01,New Year's Day
2026-01-19,Birthday of Martin Luther King, Jr.
2026-02-16,Washington's Birthday
2026-05-25,Memorial Day
2026-06-19,Juneteenth National Independence Day
2026-07-04,Independence Day
2026-09-07,Labor Day
2026-10-12,Columbus Day
2026-11-11,Veterans Day
2026-11-26,Thanksgiving Day
2026-12-25,Christmas Day
2026-01-01,New Year's Day
2026-01-18,Birthday of Martin Luther King, Jr.
2026-02-15,Washington's Birthday
2026-05-31,Memorial Day
2026-06-18,Juneteenth National Independence Day
2026-07-05,Independence Day
2026-09-06,Labor Day
2026-10-11,Columbus Day
2026-11-11,Veterans Day
2026-11-25,Thanksgiving Day
2026-12-24,Christmas Day
